timestamp,total_packets,malicious_packets,packet_rate,anomaly_score,attack_occurred
2026-06-13 13:11:38,1079,0,17.98,-0.0763,0
2026-06-13 13:12:38,1894,201,31.57,0.0317,0
2026-06-13 13:13:38,1765,55,29.42,0.033,0
2026-06-13 13:14:38,1795,133,29.92,-0.0057,0
2026-06-13 13:15:38,796,0,13.27,-0.0086,0
2026-06-13 13:16:38,1276,24,21.27,0.0571,0
2026-06-13 13:17:38,1099,0,18.32,0.0763,0
2026-06-13 13:18:38,794,0,13.23,0.0562,0
2026-06-13 13:19:38,1109,44,18.48,0.0431,0
2026-06-13 13:20:38,824,0,13.73,0.0557,0
2026-06-13 13:21:38,1145,0,19.08,0.0803,0
2026-06-13 13:22:38,958,0,15.97,-0.0054,0
2026-06-13 13:23:38,1439,52,23.98,0.1174,0
2026-06-13 13:24:38,1529,70,25.48,0.0995,0
2026-06-13 13:25:38,1267,0,21.12,-0.0267,0
2026-06-13 13:26:38,849,0,14.15,0.0098,0
2026-06-13 13:27:38,830,0,13.83,-0.0223,0
2026-06-13 13:28:38,2359,214,39.32,0.0678,0
2026-06-13 13:29:38,2038,164,33.97,0.0101,0
2026-06-13 13:30:38,971,4,16.18,-0.0632,0
2026-06-13 13:31:38,959,0,15.98,-0.0945,0
2026-06-13 13:32:38,1041,0,17.35,0.0738,0
2026-06-13 13:33:38,1058,0,17.63,0.0223,0
2026-06-13 13:34:38,833,0,13.88,-0.051,0
2026-06-13 13:35:38,803,0,13.38,0.0833,0
2026-06-13 13:36:38,1477,57,24.62,0.0783,0
2026-06-13 13:37:38,1408,50,23.47,0.1053,0
2026-06-13 13:38:38,1360,24,22.67,-0.075,0
2026-06-13 13:39:38,1308,0,21.8,-0.0199,0
2026-06-13 13:40:38,1221,10,20.35,0.0892,0
2026-06-13 13:41:38,994,0,16.57,0.0416,0
2026-06-13 13:42:38,939,0,15.65,-0.0738,0
2026-06-13 13:43:38,822,0,13.7,0.0909,0
2026-06-13 13:44:38,1488,63,24.8,0.0902,0
2026-06-13 13:45:38,829,0,13.82,0.0811,0
2026-06-13 13:46:38,1079,8,17.98,-0.0346,0
2026-06-13 13:47:38,2227,260,37.12,0.1272,0
2026-06-13 13:48:38,1005,0,16.75,0.0593,0
2026-06-13 13:49:38,962,0,16.03,-0.0054,0
2026-06-13 13:50:38,2152,240,35.87,0.0535,0
2026-06-13 13:51:38,2205,220,36.75,0.1582,0
2026-06-13 13:52:38,2558,307,42.63,0.2329,0
2026-06-13 13:53:38,2542,317,42.37,0.1949,0
2026-06-13 13:54:38,1993,126,33.22,0.104,0
2026-06-13 13:55:38,1262,35,21.03,-0.027,0
2026-06-13 13:56:38,1056,0,17.6,0.0737,0
2026-06-13 13:57:38,1860,140,31.0,0.0289,0
2026-06-13 13:58:38,1172,9,19.53,0.0207,0
2026-06-13 13:59:38,1290,67,21.5,0.1149,0
2026-06-13 14:00:38,2128,174,35.47,0.1248,0
2026-06-13 14:01:38,2325,274,38.75,0.0969,0
2026-06-13 14:02:38,3227,744,53.78,0.2572,0
2026-06-13 14:03:38,4372,1298,72.87,0.3566,0
2026-06-13 14:04:38,6156,2877,102.6,0.5245,1
2026-06-13 14:05:38,6966,4003,116.1,0.707,1
2026-06-13 14:06:38,8856,6101,147.6,0.8366,1
2026-06-13 14:07:38,9310,7280,155.17,0.8689,1
2026-06-13 14:08:38,10120,8531,168.67,0.8649,1
2026-06-13 14:09:38,10265,8758,171.08,0.8698,1
2026-06-13 14:10:38,10504,9996,175.07,1.0599,1
2026-06-13 14:11:38,10727,9195,178.78,1.0647,1
2026-06-13 14:12:38,9442,7806,157.37,0.846,1
2026-06-13 14:13:38,11275,11164,187.92,1.0826,1
2026-06-13 14:14:38,10893,10521,181.55,1.0798,1
2026-06-13 14:15:38,10323,8389,172.05,0.9275,1
2026-06-13 14:16:38,10235,9061,170.58,0.9487,1
2026-06-13 14:17:38,10284,9272,171.4,1.0123,1
2026-06-13 14:18:38,11009,9054,183.48,1.0548,1
2026-06-13 14:19:38,10192,8270,169.87,0.9555,1
2026-06-13 14:20:38,10704,9336,178.4,1.0707,1
2026-06-13 14:21:38,9999,7703,166.65,0.9579,1
2026-06-13 14:22:38,10403,9537,173.38,0.9556,1
2026-06-13 14:23:38,10015,7925,166.92,0.8957,1
2026-06-13 14:24:38,10342,8415,172.37,1.0341,1
2026-06-13 14:25:38,11084,8967,184.73,0.9213,1
2026-06-13 14:26:38,10961,8938,182.68,0.9538,1
2026-06-13 14:27:38,11027,8954,183.78,1.0193,1
2026-06-13 14:28:38,10360,8969,172.67,0.9718,1
2026-06-13 14:29:38,11010,10686,183.5,0.9093,1
2026-06-13 14:30:38,10530,8566,175.5,0.8683,1
2026-06-13 14:31:38,10925,9016,182.08,1.0344,1
2026-06-13 14:32:38,10123,8997,168.72,0.9898,1
2026-06-13 14:33:38,10257,8442,170.95,0.8466,1
2026-06-13 14:34:38,10204,9244,170.07,0.8756,1
2026-06-13 14:35:38,10673,9184,177.88,1.0592,1
2026-06-13 14:36:38,10557,8607,175.95,1.0088,1
2026-06-13 14:37:38,10122,8966,168.7,0.9124,1
2026-06-13 14:38:38,10560,9782,176.0,0.9037,1
2026-06-13 14:39:38,9901,7846,165.02,0.9574,1
2026-06-13 14:40:38,11228,8976,187.13,0.9262,1
2026-06-13 14:41:38,9955,7540,165.92,0.8954,1
2026-06-13 14:42:38,10519,9629,175.32,0.9709,1
2026-06-13 14:43:38,11006,9901,183.43,0.9555,1
2026-06-13 14:44:38,10397,9150,173.28,1.086,1
2026-06-13 14:45:38,10235,8518,170.58,0.9452,1
2026-06-13 14:46:38,10125,9252,168.75,0.9449,1
2026-06-13 14:47:38,10248,8618,170.8,0.9402,1
2026-06-13 14:48:38,10707,8712,178.45,0.929,1
2026-06-13 14:49:38,10161,9072,169.35,0.8431,1
2026-06-13 14:50:38,10319,8171,171.98,0.9529,1
2026-06-13 14:51:38,10999,9910,183.32,1.0186,1
2026-06-13 14:52:38,11068,10000,184.47,1.0367,1
2026-06-13 14:53:38,10532,9091,175.53,0.8602,1
2026-06-13 14:54:38,9589,8295,159.82,0.8972,1
2026-06-13 14:55:38,10946,9213,182.43,0.9026,1
2026-06-13 14:56:38,10886,9698,181.43,0.992,1
2026-06-13 14:57:38,10072,8528,167.87,0.8216,1
2026-06-13 14:58:38,10779,10408,179.65,1.0583,1
2026-06-13 14:59:38,10340,7731,172.33,0.8503,1
2026-06-13 15:00:38,11104,10461,185.07,1.0288,1
2026-06-13 15:01:38,10424,7994,173.73,0.8584,1
2026-06-13 15:02:38,10239,8874,170.65,1.0153,1
2026-06-13 15:03:38,10389,7949,173.15,0.8641,1
2026-06-13 15:04:38,10617,8458,176.95,1.0206,1
2026-06-13 15:05:38,10879,9199,181.32,0.971,1
2026-06-13 15:06:38,10994,10696,183.23,1.014,1
